TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;DATA-PAGES;ATRIBUTOS;BUSQUEDAS;EVALUACION_INDICE
CCAF_LosAndes_SIL;K1_Id_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;K1_Id_Funcionario;0.0;NO USO
CCAF_LosAndes_SIL;K1_Mes;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;K1_Mes;0.0;NO USO
Centros_Estudios;aaCentros_Estudios_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Centros_Estudios;0.0;NO USO
Centros_Estudios;Id_Centros_Estudios;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Centros_Estudios;0.0;NO USO
Certificados;PK_Certificados;CLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.023437;0.023437;0.007812;Numero,Ano,Id_Funcionario;0.0;NO USO
Cheques;aaaaaCheques_PK;NONCLUSTERED;1;1;0.0;1.0;0.0;1.0;;2026-06-04 09:11:44.680;0.015625;0.015625;0.007812;ID_Numero;0.0;SIN BUSQUEDAS
Cheques;Id_Establecimiento;NONCLUSTERED;0;0;0.0;1.0;0.0;1.0;;2026-06-04 10:00:09.600;0.015625;0.015625;0.007812;Id_Establecimiento;0.0;SIN BUSQUEDAS
ClasificacionFuncionarios;aaClasificacionFuncionarios_PK;NONCLUSTERED;1;1;9.0;0.0;0.0;0.0;2026-06-04 09:07:07.633;;0.015625;0.015625;0.007812;Id_Clasificacion_INE;9.0;Beneficio Busqueda
CometidoFuncionario;aaaaaCometidoFuncionario_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Establecimiento,Id_Funcionario,Id_Cometido;0.0;NO USO
CometidoFuncionario;Id_Cometido;NONCLUSTERED;0;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Cometido;0.0;NO USO
CometidoFuncionario;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Establecimiento;0.0;NO USO
CometidoFuncionario;Id_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Funcionario;0.0;NO USO
ComponentesINE;aaComponentesINE_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Componente_INE;0.0;NO USO
ComponentesINE;Id_Componente_INE;NONCLUSTERED;0;0;16.0;0.0;0.0;0.0;2026-06-04 09:07:07.720;;0.015625;0.015625;0.007812;Id_Componente_INE;16.0;Beneficio Busqueda
ComponentesINE;Orden;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Orden;0.0;NO USO
Constantes;aaaaaConstantes_PK;NONCLUSTERED;1;1;0.0;1.0;0.0;0.0;;2026-06-04 09:13:41.847;0.015625;0.015625;0.007812;Id_Constante;0.0;NO USO
Constantes;Id_Constante;NONCLUSTERED;0;1;28.0;0.0;0.0;0.0;2026-06-04 09:07:27.107;;0.015625;0.015625;0.007812;Id_Constante;28.0;Beneficio Busqueda
ContingenciaLeySanna;aaaContingenciaLeySanna_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Codigo;0.0;NO USO
CuentaBanco;aaaaaCuentaBanco_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.148437;0.078125;0.148437;Id_Establecimiento,Id_Funcionario;0.0;NO USO
CuentaBanco;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.140625;0.078125;0.132812;Id_Establecimiento;0.0;NO USO
CuentaBanco;Id_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.140625;0.054687;0.101562;Id_Funcionario;0.0;NO USO
DatosPersonales_Finiquito;aaDatosPersonales_Finiquito_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Id_Establecimiento,Id_Funcionario,Correlativo,Fecha_Termino;0.0;NO USO
DatosPersonales_Finiquito;Codigo_Causal;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Codigo_Causal;0.0;NO USO
DatosPersonales_Finiquito;Codigo_Ley;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Codigo_Ley;0.0;NO USO
DatosPersonales_Finiquito;Correlativo;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Correlativo;0.0;NO USO
DatosPersonales_Finiquito;Estado_Finiquito;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Estado_Finiquito;0.0;NO USO
DatosPersonales_Finiquito;Fecha_Inicio;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Fecha_Inicio;0.0;NO USO
DatosPersonales_Finiquito;Fecha_Pago;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Fecha_Pago;0.0;NO USO
DatosPersonales_Finiquito;Fecha_Termino;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Fecha_Termino;0.0;NO USO
